GPS,PlusPoint
"34.504825999999966,-112.60546200000002",8569G93V+WR
"34.504825999999966,-110.80546199999999",856FG53V+WR
"34.504825999999966,-112.80546200000002",8569G53V+WR
"34.504825999999966,-110.60546199999999",856FG93V+WR
"34.504825999999966,-113.00546200000002",8568GX3V+WR
"32.584826000000035,-111.805462",854CH5MV+WR
"32.584826000000035,-111.605462",854CH9MV+WR
"32.584826000000035,-112.00546200000001",8549HXMV+WR
"32.584826000000035,-111.405462",854CHHMV+WR
"32.584826000000035,-112.20546200000001",8549HQMV+WR
"32.584826000000035,-111.205462",854CHQMV+WR
"32.584826000000035,-112.40546200000001",8549HHMV+WR
"32.584826000000035,-111.005462",854CHXMV+WR
"32.584826000000035,-112.60546200000002",8549H9MV+WR
"32.584826000000035,-110.80546199999999",854FH5MV+WR
"32.584826000000035,-112.80546200000002",8549H5MV+WR
"32.584826000000035,-110.60546199999999",854FH9MV+WR
"32.584826000000035,-113.00546200000002",8548HXMV+WR
"34.60082599999996,-111.805462",856CJ52V+8R
"34.60082599999996,-111.605462",856CJ92V+8R
"34.60082599999996,-112.00546200000001",8569JX2V+8R
"34.60082599999996,-111.405462",856CJH2V+8R
"34.60082599999996,-112.20546200000001",8569JQ2V+8R
"34.60082599999996,-111.205462",856CJQ2V+8R
"34.60082599999996,-112.40546200000001",8569JH2V+8R
"34.60082599999996,-111.005462",856CJX2V+8R
"34.60082599999996,-112.60546200000002",8569J92V+8R
"34.60082599999996,-110.80546199999999",856FJ52V+8R
"34.60082599999996,-112.80546200000002",8569J52V+8R
"34.60082599999996,-110.60546199999999",856FJ92V+8R
"34.60082599999996,-113.00546200000002",8568JX2V+8R
"32.48882600000004,-111.805462",854CF5QV+GR
"32.48882600000004,-111.605462",854CF9QV+GR
"32.48882600000004,-112.00546200000001",8549FXQV+GR
"32.48882600000004,-111.405462",854CFHQV+GR
"32.48882600000004,-112.20546200000001",8549FQQV+GR
"32.48882600000004,-111.205462",854CFQQV+GR
"32.48882600000004,-112.40546200000001",8549FHQV+GR
"32.48882600000004,-111.005462",854CFXQV+GR
"32.48882600000004,-112.60546200000002",8549F9QV+GR
"32.48882600000004,-110.80546199999999",854FF5QV+GR
"32.48882600000004,-112.80546200000002",8549F5QV+GR
"32.48882600000004,-110.60546199999999",854FF9QV+GR
"32.48882600000004,-113.00546200000002",8548FXQV+GR
"34.69682599999996,-111.805462",856CM5WV+PR
"34.69682599999996,-111.605462",856CM9WV+PR
"34.69682599999996,-112.00546200000001",8569MXWV+PR
"34.69682599999996,-111.405462",856CMHWV+PR
"34.69682599999996,-112.20546200000001",8569MQWV+PR
"34.69682599999996,-111.205462",856CMQWV+PR
"34.69682599999996,-112.40546200000001",8569MHWV+PR
"34.69682599999996,-111.005462",856CMXWV+PR
"34.69682599999996,-112.60546200000002",8569M9WV+PR
"34.69682599999996,-110.80546199999999",856FM5WV+PR
"34.69682599999996,-112.80546200000002",8569M5WV+PR
"34.69682599999996,-110.60546199999999",856FM9WV+PR
"34.69682599999996,-113.00546200000002",8568MXWV+PR
"32.39282600000004,-111.805462",854C95VV+4R
"32.39282600000004,-111.605462",854C99VV+4R
"32.39282600000004,-112.00546200000001",85499XVV+4R
"32.39282600000004,-111.405462",854C9HVV+4R
"32.39282600000004,-112.20546200000001",85499QVV+4R
"32.39282600000004,-111.205462",854C9QVV+4R
"32.39282600000004,-112.40546200000001",85499HVV+4R
"32.39282600000004,-111.005462",854C9XVV+4R
"32.39282600000004,-112.60546200000002",854999VV+4R
"32.39282600000004,-110.80546199999999",854F95VV+4R
"32.39282600000004,-112.80546200000002",854995VV+4R
"32.39282600000004,-110.60546199999999",854F99VV+4R
"32.39282600000004,-113.00546200000002",85489XVV+4R
"34.792825999999955,-111.805462",856CQ5VV+4R
"34.792825999999955,-111.605462",856CQ9VV+4R
"34.792825999999955,-112.00546200000001",8569QXVV+4R
"34.792825999999955,-111.405462",856CQHVV+4R
"34.792825999999955,-112.20546200000001",8569QQVV+4R
"34.792825999999955,-111.205462",856CQQVV+4R
"34.792825999999955,-112.40546200000001",8569QHVV+4R
"34.792825999999955,-111.005462",856CQXVV+4R
"34.792825999999955,-112.60546200000002",8569Q9VV+4R
"34.792825999999955,-110.80546199999999",856FQ5VV+4R
"34.792825999999955,-112.80546200000002",8569Q5VV+4R
"34.792825999999955,-110.60546199999999",856FQ9VV+4R
"34.792825999999955,-113.00546200000002",8568QXVV+4R
"32.296826000000046,-111.805462",854C75WV+PR
"32.296826000000046,-111.605462",854C79WV+PR
"32.296826000000046,-112.00546200000001",85497XWV+PR
"32.296826000000046,-111.405462",854C7HWV+PR
"32.296826000000046,-112.20546200000001",85497QWV+PR
"32.296826000000046,-111.205462",854C7QWV+PR
"32.296826000000046,-112.40546200000001",85497HWV+PR
"32.296826000000046,-111.005462",854C7XWV+PR
"32.296826000000046,-112.60546200000002",854979WV+PR
"32.296826000000046,-110.80546199999999",854F75WV+PR
"32.296826000000046,-112.80546200000002",854975WV+PR
"32.296826000000046,-110.60546199999999",854F79WV+PR
"32.296826000000046,-113.00546200000002",85487XWV+PR
"34.88882599999995,-111.805462",856CV5QV+GR
"34.88882599999995,-111.605462",856CV9QV+GR
"34.88882599999995,-112.00546200000001",8569VXQV+GR
"34.88882599999995,-111.405462",856CVHQV+GR
"34.88882599999995,-112.20546200000001",8569VQQV+GR
"34.88882599999995,-111.205462",856CVQQV+GR
"34.88882599999995,-112.40546200000001",8569VHQV+GR
"34.88882599999995,-111.005462",856CVXQV+GR
"34.88882599999995,-112.60546200000002",8569V9QV+GR
"34.88882599999995,-110.80546199999999",856FV5QV+GR
"34.88882599999995,-112.80546200000002",8569V5QV+GR
"34.88882599999995,-110.60546199999999",856FV9QV+GR
"34.88882599999995,-113.00546200000002",8568VXQV+GR
"32.20082600000005,-111.805462",854C652V+8R
"32.20082600000005,-111.605462",854C692V+8R
"32.20082600000005,-112.00546200000001",85496X2V+8R
