GPS,PlusPoint,Avail
"38.16737799999998,-118.106927",85C35V8V+X6,85C35V8V+X6
"38.16737799999998,-117.606927",85C4598V+X6,nope
"38.16737799999998,-117.106927",85C45V8V+X6,nope
"38.16737799999998,-116.606927",85C5598V+X6,85C5598V+X6
"38.16737799999998,-116.106927",85C55V8V+X6,nope
"38.16737799999998,-115.606927",85C6598V+X6,85C6598V+X6
"38.16737799999998,-115.106927",85C65V8V+X6,85C65V8V+X6
"38.16737799999998,-114.606927",85C7598V+X6,85C7598V+X6
"38.16737799999998,-114.106927",85C75V8V+X6,85C75V8V+X6
"38.16737799999998,-113.606927",85C8598V+X6,nope
"38.16737799999998,-113.106927",85C85V8V+X6,85C85V8V+X6
"38.16737799999998,-112.606927",85C9598V+X6,nope
"38.16737799999998,-112.106927",85C95V8V+X6,nope
"38.16737799999998,-111.606927",85CC598V+X6,nope
"38.16737799999998,-111.106927",85CC5V8V+X6,nope
"38.16737799999998,-110.606927",85CF598V+X6,85CF598V+X6
"38.16737799999998,-110.106927",85CF5V8V+X6,85CF5V8V+X6
"38.16737799999998,-109.606927",85CG598V+X6,nope
"38.16737799999998,-109.106927",85CG5V8V+X6,nope
"38.16737799999998,-108.606927",85CH598V+X6,nope
"38.50037799999998,-118.106927",85C3GV2V+56,85C3GV2V+56
"38.50037799999998,-117.606927",85C4G92V+56,nope
"38.50037799999998,-117.106927",85C4GV2V+56,nope
"38.50037799999998,-116.606927",85C5G92V+56,85C5G92V+56
"38.50037799999998,-116.106927",85C5GV2V+56,85C5GV2V+56
"38.50037799999998,-115.606927",85C6G92V+56,nope
"38.50037799999998,-115.106927",85C6GV2V+56,85C6GV2V+56
"38.50037799999998,-114.606927",85C7G92V+56,85C7G92V+56
"38.50037799999998,-114.106927",85C7GV2V+56,85C7GV2V+56
"38.50037799999998,-113.606927",85C8G92V+56,nope
"38.50037799999998,-113.106927",85C8GV2V+56,85C8GV2V+56
"38.50037799999998,-112.606927",85C9G92V+56,nope
"38.50037799999998,-112.106927",85C9GV2V+56,nope
"38.50037799999998,-111.606927",85CCG92V+56,nope
"38.50037799999998,-111.106927",85CCGV2V+56,nope
"38.50037799999998,-110.606927",85CFG92V+56,85CFG92V+56
"38.50037799999998,-110.106927",85CFGV2V+56,85CFGV2V+56
"38.50037799999998,-109.606927",85CGG92V+56,nope
"38.50037799999998,-109.106927",85CGGV2V+56,nope
"38.50037799999998,-108.606927",85CHG92V+56,nope
"38.833377999999975,-118.106927",85C3RVMV+96,85C3RVMV+96
"38.833377999999975,-117.606927",85C4R9MV+96,nope
"38.833377999999975,-117.106927",85C4RVMV+96,85C4RVMV+96
"38.833377999999975,-116.606927",85C5R9MV+96,85C5R9MV+96
"38.833377999999975,-116.106927",85C5RVMV+96,85C5RVMV+96
"38.833377999999975,-115.606927",85C6R9MV+96,85C6R9MV+96
"38.833377999999975,-115.106927",85C6RVMV+96,nope
"38.833377999999975,-114.606927",85C7R9MV+96,85C7R9MV+96
"38.833377999999975,-114.106927",85C7RVMV+96,nope
"38.833377999999975,-113.606927",85C8R9MV+96,85C8R9MV+96
"38.833377999999975,-113.106927",85C8RVMV+96,85C8RVMV+96
"38.833377999999975,-112.606927",85C9R9MV+96,nope
"38.833377999999975,-112.106927",85C9RVMV+96,nope
"38.833377999999975,-111.606927",85CCR9MV+96,nope
"38.833377999999975,-111.106927",85CCRVMV+96,85CCRVMV+96
"38.833377999999975,-110.606927",85CFR9MV+96,85CFR9MV+96
"38.833377999999975,-110.106927",85CFRVMV+96,85CFRVMV+96
"38.833377999999975,-109.606927",85CGR9MV+96,nope
"38.833377999999975,-109.106927",85CGRVMV+96,nope
"38.833377999999975,-108.606927",85CHR9MV+96,nope
"39.16637799999997,-118.106927",85F35V8V+H6,85F35V8V+H6
"39.16637799999997,-117.606927",85F4598V+H6,nope
"39.16637799999997,-117.106927",85F45V8V+H6,nope
"39.16637799999997,-116.606927",85F5598V+H6,nope
"39.16637799999997,-116.106927",85F55V8V+H6,85F55V8V+H6
"39.16637799999997,-115.606927",85F6598V+H6,nope
"39.16637799999997,-115.106927",85F65V8V+H6,85F65V8V+H6
"39.16637799999997,-114.606927",85F7598V+H6,nope
"39.16637799999997,-114.106927",85F75V8V+H6,nope
"39.16637799999997,-113.606927",85F8598V+H6,85F8598V+H6
"39.16637799999997,-113.106927",85F85V8V+H6,85F85V8V+H6
"39.16637799999997,-112.606927",85F9598V+H6,nope
"39.16637799999997,-112.106927",85F95V8V+H6,85F95V8V+H6
"39.16637799999997,-111.606927",85FC598V+H6,nope
"39.16637799999997,-111.106927",85FC5V8V+H6,nope
"39.16637799999997,-110.606927",85FF598V+H6,85FF598V+H6
"39.16637799999997,-110.106927",85FF5V8V+H6,nope
"39.16637799999997,-109.606927",85FG598V+H6,85FG598V+H6
"39.16637799999997,-109.106927",85FG5V8V+H6,nope
"39.16637799999997,-108.606927",85FH598V+H6,nope
"39.49937799999997,-118.106927",85F3FVXV+Q6,85F3FVXV+Q6
"39.49937799999997,-117.606927",85F4F9XV+Q6,85F4F9XV+Q6
"39.49937799999997,-117.106927",85F4FVXV+Q6,nope
"39.49937799999997,-116.606927",85F5F9XV+Q6,85F5F9XV+Q6
"39.49937799999997,-116.106927",85F5FVXV+Q6,nope
"39.49937799999997,-115.606927",85F6F9XV+Q6,85F6F9XV+Q6
"39.49937799999997,-115.106927",85F6FVXV+Q6,85F6FVXV+Q6
"39.49937799999997,-114.606927",85F7F9XV+Q6,nope
"39.49937799999997,-114.106927",85F7FVXV+Q6,nope
"39.49937799999997,-113.606927",85F8F9XV+Q6,85F8F9XV+Q6
"39.49937799999997,-113.106927",85F8FVXV+Q6,85F8FVXV+Q6
"39.49937799999997,-112.606927",85F9F9XV+Q6,nope
"39.49937799999997,-112.106927",85F9FVXV+Q6,85F9FVXV+Q6
