GPS,PlusPoint,
"35.61058600000001,-116.06668500000004",8575JW6M+68, 8575JW6M+68
"35.70658600000001,-116.86668500000005",8575P44M+J8, 8575P44M+J8
"35.70658600000001,-116.66668500000004",8575P84M+J8, 8575P84M+J8
"35.70658600000001,-116.46668500000004",8575PG4M+J8, 8575PG4M+J8
"35.70658600000001,-116.26668500000004",8575PP4M+J8, 8575PP4M+J8
"35.70658600000001,-116.06668500000004",8575PW4M+J8, 8575PW4M+J8
"35.802586000000005,-116.86668500000005",8575R43M+28, 8575R43M+28
"35.802586000000005,-116.66668500000004",8575R83M+28, 8575R83M+28
"35.802586000000005,-116.46668500000004",8575RG3M+28, 8575RG3M+28
"35.802586000000005,-116.26668500000004",8575RP3M+28, 8575RP3M+28
"35.802586000000005,-116.06668500000004",8575RW3M+28, 8575RW3M+28
"35.898586,-116.86668500000005",8575V4XM+C8, 8575V4XM+C8
"35.898586,-116.66668500000004",8575V8XM+C8, 8575V8XM+C8
"35.898586,-116.46668500000004",8575VGXM+C8, 8575VGXM+C8
"35.898586,-116.26668500000004",8575VPXM+C8, 8575VPXM+C8
"35.898586,-116.06668500000004",8575VWXM+C8, 8575VWXM+C8
"35.994586,-116.86668500000005",8575X4VM+R8, 8575X4VM+R8
"35.994586,-116.66668500000004",8575X8VM+R8, 8575X8VM+R8
"35.03458600000003,-115.46668500000003",85762GMM+R8, 85762GMM+R8
"35.13058600000003,-111.06668499999996",857C4WJM+68, 857C4WJM+68
"35.226586000000026,-111.06668499999996",857C6WGM+J8, 857C6WGM+J8
"35.32258600000002,-111.06668499999996",857C8WFM+28, 857C8WFM+28
"35.41858600000002,-111.06668499999996",857CCW9M+C8, 857CCW9M+C8
"35.514586000000016,-111.06668499999996",857CGW7M+R8, 857CGW7M+R8
"35.61058600000001,-111.06668499999996",857CJW6M+68, 857CJW6M+68
"35.226586000000026,-110.66668499999996",857F68GM+J8, 857F68GM+J8
"35.226586000000026,-110.06668499999995",857F6WGM+J8, 857F6WGM+J8
"35.32258600000002,-110.66668499999996",857F88FM+28, 857F88FM+28
"36.378585999999984,-118.06668500000006",85839WHM+C8, 85839WHM+C8
"36.57058599999998,-118.86668500000007",8583H4CM+68, 8583H4CM+68
"36.666585999999974,-118.86668500000007",8583M48M+J8, 8583M48M+J8
"36.76258599999997,-118.26668500000007",8583QP7M+28, 8583QP7M+28
"36.090585999999995,-117.86668500000006",858434RM+68, 858434RM+68
"36.090585999999995,-117.66668500000006",858438RM+68, 858438RM+68
"36.090585999999995,-117.46668500000006",85843GRM+68, 85843GRM+68
"36.090585999999995,-117.26668500000005",85843PRM+68, 85843PRM+68
"36.090585999999995,-117.06668500000005",85843WRM+68, 85843WRM+68
"36.18658599999999,-117.86668500000006",858454PM+J8, 858454PM+J8
