GPS,PlusPoint,Avail
"39.66450399999999,-109.55088",85FGMC7X+RJ,Nada
"39.66450399999999,-109.05088",85FGMW7X+RJ,Nada
"39.66450399999999,-108.55088",85FHMC7X+RJ,Nada
"39.66450399999999,-108.05088",85FHMW7X+RJ,Nada
"39.66450399999999,-107.55088",85FJMC7X+RJ,Nada
"39.66450399999999,-107.05088",85FJMW7X+RJ,Nada
"39.66450399999999,-106.55088",85FMMC7X+RJ,Nada
"39.66450399999999,-106.05088",85FMMW7X+RJ,Nada
"39.66450399999999,-105.55088",85FPMC7X+RJ,Nada
"39.66450399999999,-105.05088",85FPMW7X+RJ,Nada
"39.66450399999999,-104.55088",85FQMC7X+RJ,Nada
"39.997503999999985,-114.05088",85F7XWXX+2J,Nada
"39.997503999999985,-113.55088",85F8XCXX+2J,Nada
"39.997503999999985,-113.05088",85F8XWXX+2J,Nada
"39.997503999999985,-112.55088",85F9XCXX+2J,Nada
"39.997503999999985,-112.05088",85F9XWXX+2J,Nada
"39.997503999999985,-111.55088",85FCXCXX+2J,Nada
"39.997503999999985,-111.05088",85FCXWXX+2J,Nada
"39.997503999999985,-110.55088",85FFXCXX+2J,Nada
"39.997503999999985,-110.05088",85FFXWXX+2J,Nada
"39.997503999999985,-109.55088",85FGXCXX+2J,Nada
"39.997503999999985,-109.05088",85FGXWXX+2J,Nada
"39.997503999999985,-108.55088",85FHXCXX+2J,Nada
"39.997503999999985,-108.05088",85FHXWXX+2J,Nada
"39.997503999999985,-107.55088",85FJXCXX+2J,Nada
"39.997503999999985,-107.05088",85FJXWXX+2J,Nada
"39.997503999999985,-106.55088",85FMXCXX+2J,Nada
"39.997503999999985,-106.05088",85FMXWXX+2J,Nada
"39.997503999999985,-105.55088",85FPXCXX+2J,Nada
"39.997503999999985,-105.05088",85FPXWXX+2J,Nada
"39.997503999999985,-104.55088",85FQXCXX+2J,Nada
"40.33050399999998,-114.05088",85G78WJX+6J,Nada
"40.33050399999998,-113.55088",85G88CJX+6J,Nada
"40.33050399999998,-113.05088",85G88WJX+6J,Nada
"40.33050399999998,-112.55088",85G98CJX+6J,Nada
"40.33050399999998,-112.05088",85G98WJX+6J,Nada
"40.33050399999998,-111.55088",85GC8CJX+6J,Nada
"40.33050399999998,-111.05088",85GC8WJX+6J,Nada
"40.33050399999998,-110.55088",85GF8CJX+6J,Nada
"40.33050399999998,-110.05088",85GF8WJX+6J,Nada
"40.33050399999998,-109.55088",85GG8CJX+6J,Nada
"40.33050399999998,-109.05088",85GG8WJX+6J,Nada
"40.33050399999998,-108.55088",85GH8CJX+6J,Nada
"40.33050399999998,-108.05088",85GH8WJX+6J,Nada
"40.33050399999998,-107.55088",85GJ8CJX+6J,Nada
"40.33050399999998,-107.05088",85GJ8WJX+6J,Nada
"40.33050399999998,-106.55088",85GM8CJX+6J,Nada
"40.33050399999998,-106.05088",85GM8WJX+6J,Nada
"40.33050399999998,-105.55088",85GP8CJX+6J,Nada
"40.33050399999998,-105.05088",85GP8WJX+6J,Nada
"40.33050399999998,-104.55088",85GQ8CJX+6J,Nada
"40.66350399999998,-114.05088",85G7MW7X+CJ,Nada
"40.66350399999998,-113.55088",85G8MC7X+CJ,Nada
"40.66350399999998,-113.05088",85G8MW7X+CJ,Nada
"40.66350399999998,-112.55088",85G9MC7X+CJ,Nada
"40.66350399999998,-112.05088",85G9MW7X+CJ,Nada
"40.66350399999998,-111.55088",85GCMC7X+CJ,Nada
"40.66350399999998,-111.05088",85GCMW7X+CJ,Nada
"40.66350399999998,-110.55088",85GFMC7X+CJ,Nada
"40.66350399999998,-110.05088",85GFMW7X+CJ,Nada
"40.66350399999998,-109.55088",85GGMC7X+CJ,Nada
"40.66350399999998,-109.05088",85GGMW7X+CJ,Nada
"40.66350399999998,-108.55088",85GHMC7X+CJ,Nada
"40.66350399999998,-108.05088",85GHMW7X+CJ,Nada
"40.66350399999998,-107.55088",85GJMC7X+CJ,Nada
"40.66350399999998,-107.05088",85GJMW7X+CJ,Nada
"40.66350399999998,-106.55088",85GMMC7X+CJ,Nada
"40.66350399999998,-106.05088",85GMMW7X+CJ,Nada
"40.66350399999998,-105.55088",85GPMC7X+CJ,Nada
"40.66350399999998,-105.05088",85GPMW7X+CJ,Nada
